award ID,award year,award month,award day,procedure,original company name,pesos,ammendments,contract begin,contract end,contract duration
411001801,2001,1,6,ADJUDICACION DIRECTA,"MÉXICO DRILLING LIMITED, L.L.C.",410948.675,SI,2001,2001,0
411002838,2002,9,20,LICITACION PUBLICA INTERNACIONAL,"NABORS PERFORACIONES DE MEXICO, S. DE R.L. DE C.V.",926806793.799,NO,2002,2007,5
411252830,2002,5,2,LICITACION PUBLICA INTERNACIONAL,INGENIERIA DE COSTOS Y CONSTRUCCION CALI S.A. DE C.V.,5010649.934,SI,2002,2003,1
4120034001,2003,1,2,ADJUDICACION DIRECTA,"TUBOS DE ACERO DE MEXICO, S.A.(TAMSA)*",14425466128.36,NO,2003,2005,2
414043813,2003,2,6,ADJUDICACION DIRECTA,DOWELL SCHLUMBERGER DE MEXICO S.A. DE C.V.,8676351766.231,SI,2003,2006,3
418813814,2003,4,14,LICITACION PUBLICA INTERNACIONAL,"COTEMAR, S.A. DE C.V.",5652563387.553,SI,2003,2007,4
418813804,2003,2,13,LICITACION PUBLICA INTERNACIONAL,"MANTENIMIENTO MARINO DE MEXICO, S. DE R.L. DE C.V.",3730508263.622,SI,2003,2007,4
414043850,2003,7,22,LICITACION PUBLICA INTERNACIONAL,DOWELL SCHLUMBERGER DE MEXICO S.A. DE C.V.,3144902963.462,NO,2003,2006,3
412003821,2003,5,2,LICITACION PUBLICA INTERNACIONAL,"COTEMAR, S.A. DE C.V.",2633130133.585,SI,2003,2008,5
418813808,2003,3,26,LICITACION PUBLICA INTERNACIONAL,"CONDUX, S.A. DE C.V.",2503478391.107,SI,2003,2007,4
412003803,2003,2,13,LICITACION PUBLICA INTERNACIONAL,"COTEMAR, S.A. DE C.V.",2179260129.903,NO,2003,2008,5
412003820,2003,5,2,LICITACION PUBLICA INTERNACIONAL,"COTEMAR, S.A. DE C.V.",2124781122.138,SI,2003,2008,5
412003804,2003,2,13,LICITACION PUBLICA INTERNACIONAL,"COTEMAR, S.A. DE C.V.",2069238682.408,SI,2003,2008,5
411003821,2003,6,16,LICITACION PUBLICA INTERNACIONAL,"MEXDRILL OFFSHORE, S. DE R. L. DE C.V. / DIAMOND OFFSHORE DRILLING (OVERSEAS) INC",1772703281.629,NO,2003,2007,4
414103872,2003,6,6,LICITACION PUBLICA INTERNACIONAL,PGS MEXICANA S.A. DE C.V.,1662766230.882,NO,2003,2006,3
418813837,2003,7,11,LICITACION PUBLICA INTERNACIONAL,"CONSTRUCCIONES INTEGRALES DEL CARMEN, S.A. DE C.V.",1643851111.984,NO,2003,2006,3
411003822,2003,6,16,LICITACION PUBLICA INTERNACIONAL,"MEXDRILL OFFSHORE, S. DE R. L. DE C.V. / DIAMOND OFFSHORE DRILLING (OVERSEAS) INC",1599230329.069,NO,2003,2007,4
414103889,2003,6,20,LICITACION PUBLICA INTERNACIONAL,"BGP INTERNATIONAL MEXICANA, S.A. DE C.V.",1594355665.514,NO,2003,2005,2
413053836,2003,8,27,LICITACION PUBLICA INTERNACIONAL,"HALLIBURTON DE MEXICO, S. DE R.L. DE C.V.",1474798245.344,SI,2003,2006,3
412423830,2003,10,24,LICITACION PUBLICA INTERNACIONAL,"SWECOMEX, S.A. DE C.V",1445951782.826,NO,2003,2005,2
413053837,2003,8,28,LICITACION PUBLICA INTERNACIONAL,M.I. DRILLING FLUIDS DE MEXICO S.A. DE C.V.,1346566792.214,SI,2003,2006,3
413053846,2003,11,3,LICITACION PUBLICA INTERNACIONAL,"HALLIBURTON DE MEXICO, S. DE R.L. DE C.V.",1317639717.719,NO,2003,2005,2
414043873,2003,11,3,OTROS,INSTITUTO MEXICANO DEL PETROLEO,1308121862.391,NO,2003,2006,3
411003823,2003,6,16,LICITACION PUBLICA INTERNACIONAL,"MEXDRILL OFFSHORE, S. DE R. L. DE C.V. / DIAMOND OFFSHORE DRILLING (OVERSEAS) INC",1287425014.949,SI,2003,2006,3
413053818,2003,6,11,LICITACION PUBLICA INTERNACIONAL,"GLOBAL DRILLING FLUIDS DE MÉXICO, S.A. DE C.V.",1257190243.528,SI,2003,2005,2
411003840,2003,10,10,LICITACION PUBLICA INTERNACIONAL,"MEXDRILL OFFSHORE, S. DE R. L. DE C.V. / DIAMOND OFFSHORE DRILLING (OVERSEAS) INC",1196925361.507,NO,2003,2007,4
411003814,2003,5,12,LICITACION PUBLICA INTERNACIONAL,"PERFORADORA CENTRAL, S.A. DE C.V.",1114617053.933,SI,2003,2006,3
411003824,2003,7,11,LICITACION PUBLICA INTERNACIONAL,"PRIDE DRILLING, L.L.C. / PRIDE FORAMER, S.A.S.",1114203906.93,SI,2003,2007,4
415113918,2003,7,14,OTROS,COMPANIA MEXICANA DE EXPLORACIONES S. A.,1081589978.999,NO,2003,2004,1
411253813,2003,2,19,LICITACION PUBLICA INTERNACIONAL,"INDUSTRIAL PERFORADORA DE CAMPECHE, S.A. DE C.V.",1070316908.126,NO,2003,2006,3
410212938,2003,1,31,ADJUDICACION DIRECTA,SCHLUMBERGER OFFSHORE SERVICES MEXICO N. V.,1069924310.363,NO,2003,2004,1
413053862,2003,12,10,LICITACION PUBLICA INTERNACIONAL,"GLOBAL DRILLING FLUIDS DE MÉXICO, S.A. DE C.V.",986822758.718,SI,2003,2006,3
411003817,2003,5,30,LICITACION PUBLICA INTERNACIONAL,PRIDE DRILLING L.L.C. / DRILLING LIMITED L.L.C.,946378293.266,NO,2003,2007,4
411003819,2003,5,30,LICITACION PUBLICA INTERNACIONAL,PRIDE DRILLING L.L.C. / DRILLING LIMITED L.L.C.,928073735.765,NO,2003,2006,3
414043806,2003,1,24,LICITACION PUBLICA INTERNACIONAL,DOWELL SCHLUMBERGER DE MEXICO S.A. DE C.V.,919614372.567,SI,2003,2004,1
412423814,2003,7,17,LICITACION PUBLICA INTERNACIONAL,ICA FLUOR DANIEL S. DE R.L. DE C.V.,917388857.402,NO,2003,2004,1
411003801,2003,3,14,LICITACION PUBLICA INTERNACIONAL,NOBLE OFFSHORE VENEZUELA Y NOBLE OFFSHORE CONTRACTING LIMITED,913630131.43,NO,2003,2006,3
414043876,2003,12,18,LICITACION PUBLICA INTERNACIONAL,"HALLIBURTON DE MEXICO, S. DE R.L. DE C.V.",913306130.273,NO,2003,2007,4
411003818,2003,5,30,LICITACION PUBLICA INTERNACIONAL,PRIDE DRILLING L.L.C. / DRILLING LIMITED L.L.C.,882286976.243,NO,2003,2007,4
411003802,2003,2,20,LICITACION PUBLICA INTERNACIONAL,"NABORS PERFORACIONES DE MÉXICO, S. DE R. L. DE C.V. / NABORS MÉXICO, INC. Y NABORS DRILLING INTERNATIONAL LIMITED",880314387.979,NO,2003,2007,4
411253865,2003,10,6,LICITACION PUBLICA INTERNACIONAL,"HALLIBURTON DE MEXICO, S. DE R.L. DE C.V.",863133333.76,SI,2003,2005,2
412423822,2003,8,19,LICITACION PUBLICA INTERNACIONAL,CONSTRUCCIONES MECANICAS MONCLOVA S. A. DE C. V.,834395739.158,NO,2003,2005,2
411253828,2003,4,29,LICITACION PUBLICA INTERNACIONAL,"QMAX MÉXICO, S.A. DE C.V.",802405241.153,SI,2003,2005,2
411003833,2003,8,12,LICITACION PUBLICA INTERNACIONAL,"TODCO MÉXICO, INC.",774011200.346,SI,2003,2006,3
418533804,2003,6,2,LICITACION PUBLICA INTERNACIONAL,PGS MEXICANA S.A DE C.V,738699645.793,NO,2003,2005,2
411003800,2003,3,14,LICITACION PUBLICA INTERNACIONAL,NOBLE OFFSHORE MEXICO LIMITED Y NOBLE DRILLING INTERNATIONAL LIMITED,736679129.333,SI,2003,2005,2
414043827,2003,3,17,LICITACION PUBLICA INTERNACIONAL,SCHLUMBERGER OFFSHORE SERVICES MEXICO N.V.,707167994.068,SI,2003,2005,2
411003832,2003,8,12,LICITACION PUBLICA INTERNACIONAL,"PRIDE DRILLING, L.L.C. / MÉXICO DRILLING LIMITED, L.L.C.",705182694.701,NO,2003,2006,3
411003820,2003,6,16,ADJUDICACION DIRECTA,NOBLE ROCHFORD DRILLING (NORTH SEA) LIMITED,701802414.747,NO,2003,2005,2
411003815,2003,5,12,LICITACION PUBLICA INTERNACIONAL,"PRIDE CENTRAL AMÉRICA, L.L.C. Y MÉXICO DRILLING LIMITED, L.L.C.",694326166.161,SI,2003,2006,3
414043817,2003,2,21,LICITACION PUBLICA INTERNACIONAL,BJ SERVICES COMPANY MEXICANA S.A. DE C.V.,670814125.89,SI,2003,2005,2
412423834,2003,10,24,LICITACION PUBLICA INTERNACIONAL,"BOSNOR, S.A. DE C.V.",653705889.334,NO,2003,2005,2
411003808,2003,3,27,ADJUDICACION DIRECTA,"PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO, S.A DE C.V.",648297208.895,SI,2003,2004,1
4101930021,2003,12,30,ADJUDICACION DIRECTA,LANDMARK GRAPHICS CORPORATION Y HALLIBURTON DE MEXICO S. DE R.L. DE C.V.,614075478.32,NO,2003,2005,2
410303830,2003,6,27,ADJUDICACION DIRECTA,COMPAQIA MEXICANA DE GEOFISICA S.A. DE C.V.,607467834.699,SI,2003,2006,3
412423828,2003,9,19,LICITACION PUBLICA INTERNACIONAL,"SWECOMEX, S.A. DE C.V",599886661.686,NO,2003,2004,1
418813857,2003,11,3,LICITACION PUBLICA INTERNACIONAL,"GLOBAL OFFSHORE MEXICO, S. DE R.L. DE C.V.",598282417.177,SI,2003,2004,1
418813817,2003,4,25,LICITACION PUBLICA INTERNACIONAL,"SUBTEC, S.A. DE C.V.",585849644.277,SI,2003,2003,0
412003822,2003,5,2,LICITACION PUBLICA INTERNACIONAL,"SERVICIOS MARÍTIMOS DE CAMPECHE, S.A. DE C.V.",578928438.585,NO,2003,2005,2
418533808,2003,8,8,LICITACION PUBLICA INTERNACIONAL,"SEISMOGRAPH SERVICE DE MEXICO, S.A. DE C.V.",577969554.378,NO,2003,2005,2
413053845,2003,10,29,LICITACION PUBLICA INTERNACIONAL,PROTEXA S.A. DE C.V.,577890557.14,SI,2003,2006,3
411003835,2003,8,12,LICITACION PUBLICA INTERNACIONAL,"TODCO MÉXICO, INC.",566671728.622,SI,2003,2005,2
414043819,2003,2,24,LICITACION PUBLICA INTERNACIONAL,"HALLIBURTON DE MEXICO, S. DE R.L. DE C.V.",556245485.746,SI,2003,2004,1
414103850,2003,4,28,LICITACION PUBLICA INTERNACIONAL,CONSTRUCCIONES MARITIMAS MEXICANAS S.A. DE C.V.,541674345.939,NO,2003,2003,0
414043848,2003,7,15,LICITACION PUBLICA NACIONAL,JAVIER CANTU BARRAGAN,536499672.376,NO,2003,2005,2
418233848,2003,9,29,ADJUDICACION DIRECTA,"CONSTRUCCIONES INTEGRALES DEL CARMEN, S.A. DE C.V.",521510414.413,NO,2003,2004,1
414103982,2003,10,27,LICITACION PUBLICA INTERNACIONAL,COMPAÑIA MEXICANA DE GEOFISICA S.A. DE C.V.,517768803.094,SI,2003,2006,3
412003823,2003,5,2,LICITACION PUBLICA INTERNACIONAL,"SERVICIOS MARÍTIMOS DE CAMPECHE, S.A. DE C.V.",508224061.475,SI,2003,2004,1
4150930016,2003,12,15,ADJUDICACION DIRECTA,SOLAR TURBINES INCORPORATED,450455259.791,NO,2003,2004,1
4158930011,2003,7,31,ADJUDICACION DIRECTA,SOLAR TURBINES INCORPORATED,431893399.793,NO,2003,2004,1
411253817,2003,3,28,LICITACION PUBLICA INTERNACIONAL,"SCHLUMBERGER OFFSHORE SERVICES MÉXICO, N.V.",431530766.406,SI,2003,2004,1
4120034012,2003,9,25,LICITACION PUBLICA INTERNACIONAL,"HASUE AND ASSOCIATES,INC.",427465728.364,NO,2003,2004,1
4186930030,2003,9,15,ADJUDICACION DIRECTA,SOLAR TURBINES INCORPORATED,400796689.793,NO,2003,2004,1
414043880,2003,12,29,LICITACION PUBLICA INTERNACIONAL,"HALLIBURTON DE MEXICO, S. DE R.L. DE C.V.",398423387.624,NO,2003,2006,3
411253814,2003,2,21,LICITACION PUBLICA INTERNACIONAL,"SERVICIOS PETROTEC, S.A. DE C.V.",387526472.307,SI,2003,2005,2
