original name,OC name,jurisdiction_code,company_number,corporate_groupings,agent_name,agent_address,alternative_names,previous_names,home_company,controlling_entity_name,controlling_entity_country,controlling_entity_oc_url,inactive,score,match,uri,registry_url
"PROTEXA,S.A. DE C.V.","PROTEXA, S.A. DE C.V.",mx,2047052,[],,,[],[],,,,,,80.0,False,http://opencorporates.com/companies/mx/2047052,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=2047052
GRUPO CONSI S.A DE C.V,nomatch
"CONSTRUCTORA Y COMERCIALIZADORA MAYA, S.A. DE C.V.",nomatch
"TRANSPORTADORA Y DISTRIBUIDORA ISABEL, S.A. DE C.V.","TRANSPORTADORA Y DISTRIBUIDORA ISABEL, S.A. DE C.V.",mx,1319568,[],,,[],[],,,,,,90.0,False,http://opencorporates.com/companies/mx/1319568,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=1319568
JAVIER DELGADO SERRANO,nomatch
SERVICIOS PETROLEROS APLICADOS S.A. DE C.V.,nomatch
"PRODUCTOS METALICOS STEELE, S.A. DE C.V.","PRODUCTOS METALICOS STEELE, S.A. DE C.V.",mx,141467,[],,,[],[],,,,,,90.0,False,http://opencorporates.com/companies/mx/141467,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=141467
ARTURO ELIAS CABRERA GONZALEZ,nomatch
"MANGUERAS ESPECIALIZADAS, S.A. *",nomatch
UNIVERSIDAD JUAREZ DE TABASCO DIVISION CIENCIAS BIOLOGICAS,nomatch
"TRANSFORMACIÓN TECNOLÓGICA DE TAMAULIPAS, S.A. DE C.V.",nomatch
ECE CORPORATIVO S.A. DE C.V.,ECE CORPORATIVO SA DE CV ECE CORPORATIVO,mx,2637036,[],,,[],[],,,,,,70.0,False,http://opencorporates.com/companies/mx/2637036,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=2637036
SERVICIOS INTEGRALES DE ASESORIA INGENIERIA Y SUMINISTROS INDUSTRIALES S,nomatch
